"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 22:55:50 MSK 2024","Thu Feb 01 22:55:50 MSK 2024","269","tests","Тесты заказа","TestOrder","","","Получение заказов без авторизации",""
"passed","Thu Feb 01 22:55:53 MSK 2024","Thu Feb 01 22:55:53 MSK 2024","234","tests","Тесты логина пользователя","TestLoginUser","","","Логин пользователя с некорректной почтой/паролем",""
"passed","Thu Feb 01 22:55:46 MSK 2024","Thu Feb 01 22:55:47 MSK 2024","472","tests","Тесты заказа","TestOrder","","","Создание заказа без авторизации",""
"passed","Thu Feb 01 22:55:47 MSK 2024","Thu Feb 01 22:55:48 MSK 2024","1048","tests","Тесты заказа","TestOrder","","","Создание заказа авторизованным пользователем",""
"passed","Thu Feb 01 22:55:48 MSK 2024","Thu Feb 01 22:55:48 MSK 2024","234","tests","Тесты заказа","TestOrder","","","Создание заказа с неверным хешем ингредиентов",""
"passed","Thu Feb 01 22:55:48 MSK 2024","Thu Feb 01 22:55:48 MSK 2024","237","tests","Тесты заказа","TestOrder","","","Создание заказа без ингредиентов",""
"passed","Thu Feb 01 22:55:54 MSK 2024","Thu Feb 01 22:55:55 MSK 2024","125","tests","Тесты редактирования пользователя","TestUpdateUser","","","Редактирование неавторизованного пользователя",""
"passed","Thu Feb 01 22:55:53 MSK 2024","Thu Feb 01 22:55:53 MSK 2024","212","tests","Тесты логина пользователя","TestLoginUser","","","Логин существующего пользователя",""
"passed","Thu Feb 01 22:55:53 MSK 2024","Thu Feb 01 22:55:53 MSK 2024","281","tests","Тесты логина пользователя","TestLoginUser","","","Логин пользователя с некорректной почтой/паролем",""
"passed","Thu Feb 01 22:55:53 MSK 2024","Thu Feb 01 22:55:54 MSK 2024","246","tests","Тесты логина пользователя","TestLoginUser","","","Логин пользователя с некорректной почтой/паролем",""
"passed","Thu Feb 01 22:55:51 MSK 2024","Thu Feb 01 22:55:52 MSK 2024","221","tests","Тесты создания пользователя","TestCreateUser","","","Создание пользователя без обязательных полей",""
"passed","Thu Feb 01 22:55:50 MSK 2024","Thu Feb 01 22:55:51 MSK 2024","599","tests","Тесты создания пользователя","TestCreateUser","","","Создание уникального пользователя",""
"passed","Thu Feb 01 22:55:51 MSK 2024","Thu Feb 01 22:55:51 MSK 2024","135","tests","Тесты создания пользователя","TestCreateUser","","","Создание неуникального пользователя",""
"passed","Thu Feb 01 22:55:48 MSK 2024","Thu Feb 01 22:55:50 MSK 2024","1317","tests","Тесты заказа","TestOrder","","","Получение заказов авторизованного пользователя",""
"passed","Thu Feb 01 22:55:54 MSK 2024","Thu Feb 01 22:55:54 MSK 2024","136","tests","Тесты редактирования пользователя","TestUpdateUser","","","Редактирование авторизованного пользователя",""
"passed","Thu Feb 01 22:55:52 MSK 2024","Thu Feb 01 22:55:52 MSK 2024","136","tests","Тесты создания пользователя","TestCreateUser","","","Создание пользователя без обязательных полей",""
"passed","Thu Feb 01 22:55:52 MSK 2024","Thu Feb 01 22:55:52 MSK 2024","215","tests","Тесты создания пользователя","TestCreateUser","","","Создание пользователя без обязательных полей",""
